ID,name,description,playInstructions,benefits
toys_001,congklak,"Congklak adalah permainan tradisional yang menggunakan papan kayu dengan dua barisan lubang dan biji-biji kecil. Permainan ini terkenal di Indonesia, terutama di daerah Jawa, Bali, dan Nusa Tenggara. Papan congklak terbuat dari kayu yang diukir dengan halus, sementara bijinya terbuat dari cangkang kerang atau batu kecil.","Pemain akan mengambil biji-biji di satu lubang dan memindahkannya satu per satu ke lubang berikutnya secara bergiliran, dengan tujuan untuk mengumpulkan sebanyak mungkin biji di ""rumah"" mereka."," Melatih keterampilan berpikir strategis, perencanaan, serta meningkatkan kemampuan berhitung."
toys_002,gasing,"Gasing adalah mainan tradisional yang berbentuk seperti kerucut yang dapat berputar dengan menggunakan tali atau kayu pemutar. Gasing berasal dari daerah Jawa, Bali, dan beberapa daerah di Sumatra. Terbuat dari kayu keras seperti jati atau kayu sonkit yang dibentuk sedemikian rupa agar dapat berputar lama. Gasing biasanya dihias dengan pola-pola khas daerah.","Gasing dimainkan dengan cara memutar gasing menggunakan tali yang diikatkan pada batang kayu, lalu dilepaskan agar gasing bisa berputar di atas tanah. Pemain harus mengatur gasing agar bisa berputar lama dan tidak jatuh.","Meningkatkan konsentrasi, keterampilan motorik halus, serta melatih ketahanan dan kesabaran."
toys_003,kelereng,"Kelereng adalah bola kecil yang terbuat dari kaca atau batu, digunakan dalam berbagai permainan tradisional. Permainan ini sangat populer di kalangan anak-anak Indonesia, terutama di daerah Jawa, Bali, dan Sumatra. Kelereng dibuat dari kaca yang dipoles agar halus dan dapat bergulir dengan lancar.","Pemain akan melemparkan kelereng ke dalam sebuah lingkaran atau ke arah target tertentu, dengan tujuan untuk mendapatkan kelereng lawan atau memasukkannya ke dalam lubang.","Mengasah koordinasi tangan dan mata, serta mengajarkan strategi dan perhitungan."
toys_004,wayang kulit,"Wayang kulit adalah seni pertunjukan yang menggunakan boneka dari kulit yang dipotong dan dilukis dengan tangan. Wayang kulit berasal dari Jawa, terutama di Yogyakarta dan Solo. Boneka wayang dibuat dari kulit kerbau atau sapi yang diproses dan diukir secara detail. Biasanya digunakan dalam pertunjukan yang menceritakan kisah-kisah epik seperti Ramayana atau Mahabharata.","Wayang kulit dimainkan oleh seorang dalang yang menggerakkan wayang di belakang layar putih dengan pencahayaan dari lampu minyak, sementara suara narasi dan gamelan mengiringi pertunjukan.","Meningkatkan apresiasi terhadap seni dan budaya, mengembangkan imajinasi, serta mengajarkan nilai-nilai moral."
toys_005,sepak takraw,"Sepak takraw adalah olahraga tradisional yang dimainkan dengan bola rotan. Permainan ini berasal dari Asia Tenggara, dan sangat populer di Indonesia, terutama di daerah Sumatra dan Kalimantan. Bola sepak takraw terbuat dari rotan yang dianyam dan dirangkai sedemikian rupa agar kuat dan ringan.","Dua tim yang masing-masing terdiri dari tiga orang bermain dengan menendang bola rotan melewati net. Pemain tidak boleh menggunakan tangan, hanya kaki, kepala, atau badan bagian lainnya untuk memukul bola ke sisi lawan.","Meningkatkan kebugaran fisik, kelincahan, dan keterampilan kerja sama dalam tim."
toys_006,tamiya,"Tamiya adalah mobil kecil yang digerakkan dengan motor kecil dan baterai. Meskipun ini lebih modern, permainan tamiya menjadi tradisi di beberapa daerah di Indonesia. Mobil tamiya awalnya berasal dari Jepang, tetapi di Indonesia permainan ini sangat digemari terutama di kalangan anak-anak di daerah urban.","Tamiya digunakan dalam balapan di lintasan yang terbuat dari berbagai bahan, seperti plastik atau kayu. Pemain menyalakan tamiya dan mengatur mobil agar bisa menempuh jalur balap dengan cepat tanpa terguling.",Melatih keterampilan teknis dan perencanaan.
toys_007,pukul sapu,"Pukul Sapu adalah permainan tradisional yang dimainkan dengan menggunakan sapu lidi yang dijadikan alat pukul untuk bola kecil. Permainan ini biasanya dimainkan oleh anak-anak di desa-desa di Indonesia, terutama di daerah Jawa. Alat utama yang digunakan adalah sapu lidi yang dibuat dari batang pohon kelapa atau bambu.",Pemain akan menggunakan sapu lidi untuk memukul bola kecil ke arah gawang atau target tertentu. Pemain harus menggunakan keterampilan untuk memukul bola agar bisa tepat sasaran.,"Meningkatkan koordinasi tangan dan mata, serta melatih keterampilan motorik kasar."
toys_008,bakiak,"Bakiak adalah alat permainan tradisional yang digunakan untuk berjalan, terbuat dari papan kayu dengan tali yang mengikatkan kaki pemain pada papan tersebut. Bakiak sering dimainkan oleh anak-anak di daerah Jawa dan Bali. Bakiak terbuat dari kayu jati atau kayu keras lainnya yang diberi tali dari bahan kain.",Pemain akan mengenakan bakiak di kedua kakinya dan berjalan di atas tanah atau permukaan datar. Pemain yang paling cepat dan tidak terjatuh akan menjadi pemenang.,"Melatih keseimbangan tubuh, koordinasi gerakan, dan ketangkasan."
toys_009,egrang,"Egrang adalah permainan tradisional Indonesia yang menggunakan dua batang bambu panjang sebagai alat untuk berjalan. Permainan ini sangat populer di daerah Jawa dan Bali, dan umumnya dimainkan di acara-acara tertentu atau sebagai hiburan di desa.",Pemain akan berdiri di atas dua batang bambu yang diberi pijakan di bagian bawahnya dan berusaha berjalan di atas bambu dengan menjaga keseimbangan.,"Meningkatkan keseimbangan tubuh, kekuatan kaki, dan koordinasi motorik kasar."
toys_010,layang-layang,"Layang-layang adalah mainan yang terbang di udara dengan menggunakan benang yang dikendalikan oleh pemain. Layang-layang banyak dimainkan di berbagai daerah di Indonesia, terutama di daerah pantai atau lapangan luas. Layang-layang dibuat dengan rangka dari bambu dan kertas warna-warni sebagai bahan penutupnya.",Pemain akan mengoperasikan layang-layang dengan cara mengontrol benang agar layang-layang bisa terbang tinggi. Pemain harus menghindari agar layang-layang tidak putus atau jatuh.,"Mengasah keterampilan koordinasi dan ketepatan, serta melatih kesabaran."
